,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-10-13,33.61,12.0,6,9,82.0,21.0,22.0,34.0
2019-01-10-14,38.88,11.0,24,11,89.0,22.0,25.0,34.0
2019-01-10-15,35.41,11.0,14,10,91.0,23.0,29.0,28.0
2019-01-10-16,31.39,12.0,2,8,93.0,19.0,29.0,25.0
2019-01-10-17,31.71,12.5,1,7,74.0,19.0,25.0,27.0
2019-01-10-18,34.0,11.0,-2,10,92.0,20.0,26.0,23.0
2019-01-10-19,38.06,12.0,-3,11,103.0,21.0,29.0,21.0
2019-01-10-20,40.28,12.5,-1,12,121.0,19.0,32.0,23.0
2019-01-10-21,39.17,12.0,0,12,115.0,17.0,35.0,24.0
2019-01-10-22,39.11,11.0,1,8,126.0,16.0,37.0,24.0
2019-01-10-23,39.78,11.0,5,9,128.0,16.0,38.0,26.0
2019-01-11-00,43.11,14.5,1,7,152.0,15.0,35.0,24.0
2019-01-11-01,43.06,13.5,6,6,162.0,16.0,36.0,26.0
2019-01-11-02,45.5,15.5,6,6,139.0,15.0,37.0,29.0
2019-01-11-03,45.5,15.0,9,4,105.0,13.0,36.0,33.0
2019-01-11-04,47.5,20.0,7,5,90.0,14.0,34.0,36.0
2019-01-11-05,48.67,20.0,6,6,75.0,14.0,34.0,39.0
2019-01-11-06,47.72,26.5,3,6,67.0,13.0,33.0,44.0
2019-01-11-07,47.5,36.5,5,7,65.0,12.0,32.0,48.0
2019-01-11-08,49.39,56.5,6,9,70.0,11.0,34.0,49.0
2019-01-11-09,52.06,55.5,10,10,82.0,12.0,36.0,48.0
2019-01-11-10,58.0,53.0,8,12,78.0,12.0,37.0,56.0
2019-01-11-11,57.72,51.5,9,11,71.0,14.0,39.0,57.0
2019-01-11-12,59.89,50.0,7,9,80.0,15.0,39.0,58.0
2019-01-11-13,62.71,47.5,14,11,79.0,15.0,37.0,58.0
2019-01-11-14,66.82,47.0,7,11,80.0,18.0,31.0,60.0
2019-01-11-15,69.11,37.5,13,10,79.0,18.0,39.0,65.0
2019-01-11-16,70.71,40.0,19,8,82.0,22.0,43.0,51.0
2019-01-11-17,68.33,35.5,11,6,82.0,22.0,35.0,42.0
2019-01-11-18,74.67,33.0,8,8,89.0,20.0,34.0,38.0
2019-01-11-19,73.28,34.5,3,6,97.0,19.0,35.0,42.0
2019-01-11-20,79.89,32.0,16,10,116.0,17.0,35.0,49.0
2019-01-11-21,76.22,28.0,19,10,158.0,17.0,35.0,45.0
2019-01-11-22,73.53,25.5,13,9,192.0,14.0,35.0,44.0
2019-01-11-23,70.56,27.0,19,9,216.0,14.0,34.0,37.0
2019-01-12-00,71.78,25.0,12,6,195.0,12.0,35.0,23.0
