,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-16-01,13.83,4.0,-999,-999,27.61,12.74,11.15,7.43
2019-01-16-02,12.33,4.0,9,1,30.8,12.21,9.56,5.84
2019-01-16-03,11.94,4.0,9,2,31.86,10.62,9.56,5.84
2019-01-16-04,14.11,3.5,8,2,32.39,11.15,8.5,4.78
2019-01-16-05,18.39,5.0,8,2,32.39,11.68,8.5,4.78
2019-01-16-06,24.28,7.5,10,2,31.33,13.81,9.03,5.31
2019-01-16-07,31.67,11.0,16,4,32.39,19.65,10.09,6.37
2019-01-16-08,32.56,16.0,17,5,33.45,25.49,11.15,10.09
2019-01-16-09,30.94,15.5,20,6,31.33,24.43,14.34,11.68
2019-01-16-10,32.0,14.5,15,5,29.2,22.3,16.46,13.28
2019-01-16-11,32.17,14.0,11,4,24.96,19.65,14.87,12.74
2019-01-16-12,25.06,12.0,12,4,22.83,19.12,13.28,12.74
2019-01-16-13,19.53,12.0,13,3,22.83,19.12,12.21,13.81
