經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.556,21.885933,1.9699335e-05,0.21,0.21
120.58606,21.885796,1.4677644e-05,0.18,0.18
120.61609,21.885689,1.0386109e-05,0.16,0.16
120.64615,21.885551,6.571412e-06,0.15,0.15
120.67621,21.885406,4.3958426e-06,0.14,0.14
120.70627,21.885262,2.9206276e-06,0.13,0.13
120.73633,21.885109,2.2947788e-06,0.13,0.13
120.76636,21.884964,2.3692846e-06,0.13,0.13
120.79642,21.884811,2.3394823e-06,0.13,0.13
120.82648,21.88462,2.5331974e-06,0.12,0.12
120.85654,21.884468,2.4810433e-06,0.12,0.12
120.8866,21.88427,2.3916364e-06,0.12,0.12
120.916626,21.884087,2.2649765e-06,0.12,0.12
120.946686,21.883888,2.0489097e-06,0.12,0.12
120.976746,21.883705,1.2740493e-06,0.11,0.11
121.006775,21.883476,8.940697e-07,0.11,0.11
121.036835,21.883278,6.631017e-07,0.11,0.11
121.066895,21.883057,6.556511e-07,0.11,0.11
121.096954,21.88282,5.8859587e-07,0.11,0.11
121.127014,21.882599,5.5879354e-07,0.11,0.11
121.15704,21.882355,2.9802322e-07,0.1,0.1
121.1871,21.882126,2.5331974e-07,0.1,0.1
121.21716,21.881866,3.054738e-07,0.1,0.1
121.24719,21.881615,2.0116568e-07,0.1,0.1
121.27725,21.88134,2.9057264e-07,0.1,0.1
121.30731,21.881088,2.4586916e-07,0.1,0.1
121.33737,21.880783,2.2351742e-07,0.1,0.1
121.36743,21.880531,1.6391277e-07,0.09,0.09
121.39746,21.880241,2.1606684e-07,0.09,0.09
121.42752,21.879944,1.6391277e-07,0.09,0.09
121.45758,21.879639,8.940697e-08,0.09,0.09
121.48761,21.879318,1.0430813e-07,0.09,0.09
121.51767,21.879013,5.2154064e-08,0.09,0.09
121.54773,21.8787,8.940697e-08,0.09,0.09
121.57776,21.87838,1.4901161e-08,0.09,0.09
121.60782,21.878044,2.2351742e-08,0.09,0.09
121.63788,21.877708,3.7252903e-08,0.09,0.09
121.66791,21.877365,1.4156103e-07,0.09,0.09
121.69797,21.877007,3.7252903e-08,0.09,0.09
121.72803,21.876656,-2.9802322e-08,0.09,0.09
121.75806,21.87629,-3.7252903e-08,0.09,0.09
121.78812,21.875916,5.2154064e-08,0.09,0.09
121.81818,21.875542,8.195639e-08,0.09,0.09
121.848206,21.87516,1.4901161e-08,0.09,0.09
121.878265,21.874779,7.450581e-09,0.09,0.09
121.908325,21.874382,2.9802322e-08,0.1,0.1
121.938354,21.873993,2.9802322e-08,0.1,0.1
121.968414,21.87358,0.0,0.1,0.1
121.99844,21.873154,0.0,0.11,0.11
122.0285,21.872742,-1.4901161e-08,0.13,0.13
119.29358,21.91314,2.5063753e-05,0.26,0.26
119.32364,21.913307,2.7060509e-05,0.27,0.27
119.3537,21.913437,3.0457973e-05,0.28,0.28
119.38376,21.913567,3.3676624e-05,0.29,0.29
119.41382,21.913704,3.6895275e-05,0.3,0.3
119.44388,21.913826,3.9875507e-05,0.32,0.32
119.47394,21.913925,4.297495e-05,0.34,0.34
119.504,21.914032,4.723668e-05,0.36,0.36
119.53406,21.914139,5.0753355e-05,0.39,0.39
119.56412,21.914215,5.3972006e-05,0.41,0.41
119.59418,21.914314,5.826354e-05,0.44,0.44
119.62424,21.91439,6.207824e-05,0.46,0.46
119.6543,21.914482,6.866455e-05,0.49,0.49
119.68436,21.91455,7.247925e-05,0.52,0.52
