經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.70642,21.91314,0.00025200843811035156,2.49,2.49
120.73648,21.913002,0.00028824806213378906,2.11,2.11
120.76654,21.91285,0.00029397010803222656,2.35,2.35
120.7966,21.91269,0.00027370452880859375,2.18,2.18
120.82666,21.912506,0.0002703666687011719,2.2,2.2
120.85672,21.912346,0.0002281665802001953,1.97,1.97
120.88678,21.912163,0.00024509429931640625,2.15,2.15
120.91684,21.911964,0.0002516508102416992,1.92,1.92
120.9469,21.911774,0.0002467632293701172,1.33,1.33
120.97696,21.911568,0.00014573335647583008,0.91,0.91
121.00702,21.91137,0.00011670589447021484,0.63,0.63
121.03708,21.911156,0.00012451410293579102,0.57,0.57
121.06714,21.91095,9.647011756896973e-05,0.41,0.41
121.0972,21.91072,2.4437904357910156e-05,1.27,1.27
121.12726,21.910492,0.00010932981967926025,0.15,0.15
121.15732,21.910255,5.476176738739014e-05,0.14,0.14
121.18738,21.910004,2.0623207092285156e-05,1.47,1.47
121.21744,21.909744,3.2395124435424805e-05,0.2,0.2
121.2475,21.909492,2.22623348236084e-05,0.47,0.47
121.27756,21.909218,2.777576446533203e-05,0.12,0.12
121.30762,21.90895,2.187490463256836e-05,0.5,0.5
121.33765,21.908684,1.9807368516921997e-05,0.03,0.03
121.36774,21.908417,1.8693506717681885e-05,0.07,0.07
121.397766,21.908104,2.256035804748535e-05,0.04,0.04
121.427826,21.90783,1.6570091247558594e-05,0.07,0.07
121.457886,21.907532,1.9043684005737305e-05,0.06,0.06
121.487946,21.907219,1.7084181308746338e-05,0.05,0.05
121.518005,21.906898,8.821487426757812e-06,0.73,0.73
121.548065,21.906586,7.033348083496094e-06,0.33,0.33
121.578125,21.906265,4.470348358154297e-06,0.7,0.7
121.608185,21.905937,3.337860107421875e-06,0.29,0.29
121.638245,21.905594,1.3306736946105957e-05,0.17,0.17
121.668274,21.905258,2.0369887351989746e-05,0.17,0.17
121.698364,21.904907,4.9427151679992676e-05,0.17,0.17
121.72839,21.904549,3.867596387863159e-05,0.02,0.02
121.75845,21.904182,3.159046173095703e-06,0.33,0.33
121.78851,21.903816,3.874301910400391e-06,0.33,0.33
121.81857,21.90342,2.0906329154968262e-05,0.16,0.16
121.84863,21.903046,1.2150034308433533e-05,0.02,0.02
121.87869,21.902664,4.112720489501953e-06,0.28,0.28
121.90875,21.902275,3.0100345611572266e-06,0.28,0.28
121.93878,21.90187,2.4437904357910156e-06,0.27,0.27
121.96884,21.901482,4.324130713939667e-06,0.01,0.01
121.9989,21.901054,3.861263394355774e-06,0.02,0.02
122.02896,21.900627,1.9818544387817383e-06,0.07,0.07
119.293396,21.941048,0.0008373856544494629,0.85,0.85
119.32349,21.941193,0.0009310245513916016,0.84,0.84
119.353546,21.94133,0.0010285377502441406,0.84,0.84
119.383606,21.94146,0.00117570161819458,0.86,0.86
119.4137,21.941582,0.0011889934539794922,0.92,0.93
119.443756,21.941704,0.001192927360534668,1.01,1.01
