經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
121.15732,21.910255,2.8312206e-07,0.21,0.21
121.18738,21.910004,3.2782555e-07,0.21,0.21
121.21744,21.909744,3.2782555e-07,0.21,0.21
121.2475,21.909492,3.427267e-07,0.22,0.22
121.27756,21.909218,2.2351742e-07,0.22,0.22
121.30762,21.90895,2.0861626e-07,0.22,0.22
121.33765,21.908684,1.1920929e-07,0.22,0.22
121.36774,21.908417,1.3411045e-07,0.22,0.22
121.397766,21.908104,1.7881393e-07,0.23,0.23
121.427826,21.90783,1.6391277e-07,0.24,0.24
121.457886,21.907532,1.1920929e-07,0.25,0.25
121.487946,21.907219,1.1920929e-07,0.25,0.25
121.518005,21.906898,7.4505806e-08,0.23,0.23
121.548065,21.906586,8.940697e-08,0.23,0.23
121.578125,21.906265,5.9604645e-08,0.23,0.23
121.608185,21.905937,0.0,0.23,0.23
121.638245,21.905594,1.4901161e-08,0.23,0.23
121.668274,21.905258,0.0,0.24,0.24
121.698364,21.904907,5.9604645e-08,0.24,0.24
121.72839,21.904549,4.4703484e-08,0.24,0.24
121.75845,21.904182,4.4703484e-08,0.25,0.25
121.78851,21.903816,0.0,0.25,0.25
121.81857,21.90342,0.0,0.26,0.26
121.84863,21.903046,2.9802322e-08,0.27,0.27
121.87869,21.902664,2.9802322e-08,0.27,0.27
121.90875,21.902275,0.0,0.28,0.28
121.93878,21.90187,0.0,0.29,0.29
121.96884,21.901482,0.0,0.31,0.31
121.9989,21.901054,0.0,0.33,0.33
122.02896,21.900627,2.9802322e-08,0.38,0.38
119.293396,21.941048,3.415346e-05,0.27,0.27
119.32349,21.941193,3.72231e-05,0.27,0.27
119.353546,21.94133,4.053116e-05,0.28,0.28
119.383606,21.94146,4.389882e-05,0.3,0.3
119.4137,21.941582,4.824996e-05,0.32,0.32
119.443756,21.941704,5.4717064e-05,0.34,0.34
119.473816,21.941803,6.3985586e-05,0.36,0.37
119.503876,21.941925,7.498264e-05,0.39,0.39
