,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-10-03,3.39,31.5,14,22,3.05,15.27,11.2,12.72
2019-01-10-04,4.06,31.5,12,15,3.05,16.29,10.18,10.18
2019-01-10-05,3.83,29.0,18,13,3.05,15.78,9.16,7.13
2019-01-10-06,3.22,25.0,11,11,2.04,16.8,7.13,3.05
2019-01-10-07,2.5,15.5,4,3,2.04,12.72,7.13,3.05
2019-01-10-08,3.11,13.5,12,1,2.54,8.65,6.62,2.04
2019-01-10-09,3.5,29.0,13,9,3.05,9.67,6.62,4.58
2019-01-10-10,3.94,31.5,17,29,4.07,12.72,10.18,9.67
2019-01-10-11,6.44,33.5,21,42,5.09,13.23,13.74,13.23
2019-01-10-12,7.5,35.0,24,45,7.64,15.27,17.82,18.32
2019-01-10-13,6.17,36.0,28,45,10.18,13.74,22.9,21.38
2019-01-10-14,7.71,34.0,29,47,11.71,12.22,23.41,28.0
2019-01-10-15,10.29,33.0,28,47,12.72,12.72,21.38,44.79
2019-01-10-16,7.44,33.5,30,44,10.69,12.72,17.31,44.79
2019-01-10-17,3.44,32.0,24,44,4.58,14.25,11.2,41.23
2019-01-10-18,2.83,34.0,25,39,2.04,16.29,8.65,34.1
2019-01-10-19,2.17,34.0,29,32,2.04,19.85,8.14,29.52
2019-01-10-20,2.06,36.5,28,36,2.04,22.4,8.14,28.5
2019-01-10-21,1.94,34.5,30,39,2.04,18.83,8.14,25.96
2019-01-10-22,2.0,37.0,28,39,2.04,19.85,7.64,22.4
2019-01-10-23,2.06,39.0,23,38,2.04,21.38,7.64,22.4
2019-01-11-00,2.0,42.5,18,38,2.54,21.38,7.64,20.87
2019-01-11-01,1.94,43.5,13,37,2.54,16.8,8.14,16.8
2019-01-11-02,2.06,42.0,17,32,2.54,14.25,8.65,15.78
2019-01-11-03,1.89,38.0,19,28,2.54,12.22,9.16,19.85
2019-01-11-04,1.89,41.0,18,20,3.05,13.23,8.14,16.29
2019-01-11-05,2.0,39.0,17,17,3.05,14.25,6.62,18.32
2019-01-11-06,2.0,34.0,12,7,2.54,17.31,8.14,16.8
2019-01-11-07,2.0,33.5,8,14,2.54,14.76,7.13,10.69
2019-01-11-08,2.11,27.0,4,4,3.05,10.69,5.6,9.67
2019-01-11-09,3.11,30.0,4,16,3.05,11.71,5.09,10.18
2019-01-11-10,4.94,34.5,7,37,4.07,13.74,5.6,10.69
2019-01-11-11,9.11,35.0,7,42,6.62,15.27,5.6,10.69
2019-01-11-12,12.94,38.0,9,43,11.2,17.82,7.13,11.71
2019-01-11-13,11.94,36.5,15,43,14.76,17.31,9.67,19.34
2019-01-11-14,9.24,41.0,17,46,15.27,13.74,13.74,17.82
2019-01-11-15,7.0,45.0,12,47,15.27,8.14,14.76,21.38
2019-01-11-16,4.94,43.5,10,46,11.2,5.6,13.74,21.38
2019-01-11-17,3.0,36.5,4,47,6.11,5.09,8.65,15.27
2019-01-11-18,2.94,30.5,2,47,2.54,4.58,7.13,11.71
2019-01-11-19,2.83,32.5,10,44,2.04,4.07,8.65,15.27
2019-01-11-20,2.06,33.5,15,38,2.04,4.07,8.65,17.31
2019-01-11-21,2.11,34.0,12,39,2.54,4.07,9.16,13.23
2019-01-11-22,2.17,34.0,14,41,3.05,4.07,9.67,6.11
2019-01-11-23,2.0,34.0,10,41,3.56,5.09,9.67,5.09
2019-01-12-00,2.0,35.0,6,44,3.56,6.11,7.64,8.65
2019-01-12-01,2.06,30.5,10,42,3.05,7.64,9.16,14.76
2019-01-12-02,2.06,27.5,10,42,3.05,6.11,9.16,13.23
2019-01-12-03,1.94,33.5,8,42,2.54,9.16,7.13,7.13
2019-01-12-04,2.06,40.5,12,44,2.54,6.62,8.14,4.58
2019-01-12-05,2.06,36.5,11,45,3.05,6.11,7.13,4.58
2019-01-12-06,2.0,33.0,10,46,2.04,7.13,6.11,5.6
2019-01-12-07,2.0,34.5,3,45,1.53,7.64,5.6,5.09
2019-01-12-08,2.44,34.0,2,40,1.53,7.13,5.09,4.07
2019-01-12-09,2.94,31.5,12,39,2.04,5.6,7.13,11.2
2019-01-12-10,3.67,38.0,13,40,3.56,6.11,9.16,12.22
2019-01-12-11,6.78,45.0,16,41,5.6,6.62,9.67,13.23
2019-01-12-12,11.44,55.0,17,42,7.13,10.18,9.67,15.78
2019-01-12-13,18.0,59.0,23,43,10.18,11.2,11.2,18.32
2019-01-12-14,22.17,61.5,26,44,10.69,9.16,13.23,22.9
2019-01-12-15,24.39,59.5,28,45,9.67,7.13,10.69,26.47
2019-01-12-16,21.44,60.5,25,43,6.11,6.62,8.65,26.98
2019-01-12-17,14.44,58.5,28,42,3.05,5.6,6.11,31.05
2019-01-12-18,14.0,56.5,29,43,2.04,5.09,5.6,29.52
2019-01-12-19,12.44,56.5,27,42,2.54,5.09,5.09,18.32
2019-01-12-20,7.0,53.5,24,43,2.54,6.62,6.62,11.71
2019-01-12-21,5.83,50.0,27,44,2.54,6.62,7.64,8.65
2019-01-12-22,3.67,43.5,27,44,2.54,7.64,7.13,7.64
2019-01-12-23,2.5,49.0,26,43,2.54,8.14,6.11,8.14
2019-01-13-00,2.61,49.0,22,44,2.54,8.14,6.11,9.67
2019-01-13-01,3.17,49.0,21,42,2.54,10.18,7.13,11.2
2019-01-13-02,7.39,47.0,14,43,2.54,11.71,7.13,10.18
2019-01-13-03,6.83,49.0,9,40,4.58,12.72,6.11,11.71
2019-01-13-04,6.61,48.5,7,46,4.58,12.72,6.62,13.23
2019-01-13-05,3.67,47.5,6,45,4.58,14.76,6.62,15.27
2019-01-13-06,2.61,43.5,6,44,5.09,14.25,6.62,15.78
2019-01-13-07,2.17,39.5,8,41,4.07,10.69,6.62,14.25
2019-01-13-08,3.17,43.0,10,37,6.11,8.14,6.62,12.22
2019-01-13-09,5.33,45.0,11,38,8.65,10.69,7.64,12.72
2019-01-13-10,8.06,45.0,15,38,19.34,14.76,6.62,11.71
2019-01-13-11,12.89,47.0,21,39,24.94,16.29,9.16,13.23
2019-01-13-12,19.67,50.0,26,40,29.01,17.31,10.18,19.85
2019-01-13-13,27.33,51.0,33,41,32.58,19.85,10.69,26.47
2019-01-13-14,32.28,51.5,37,40,34.1,23.92,12.22,30.03
2019-01-13-15,33.44,52.0,24,40,34.61,25.96,11.2,33.08
2019-01-13-16,32.22,51.0,24,40,34.1,22.9,11.2,33.59
2019-01-13-17,27.72,47.0,23,40,29.01,18.83,10.18,31.05
2019-01-13-18,18.83,45.5,16,39,16.8,12.72,10.18,25.96
2019-01-13-19,12.67,47.0,13,39,7.64,13.23,13.74,23.41
2019-01-13-20,7.72,48.0,13,37,5.09,19.85,12.72,19.85
2019-01-13-21,6.39,48.5,26,37,4.07,20.36,12.22,20.87
2019-01-13-22,5.5,45.5,24,38,4.07,16.29,13.23,21.38
2019-01-13-23,3.44,36.5,28,38,4.07,11.71,13.23,21.38
